pi_star,zlb,degree,solve_time,l_1,l_inf
1.000000,1,1,0.407004,-3.118673,-1.732525
1.000000,0,1,0.404890,-3.118673,-1.732525
1.014950,0,1,0.732414,-3.407671,-1.938427
1.000000,1,2,0.714222,-4.399468,-2.164796
1.000000,0,2,0.706810,-4.404757,-2.772305
1.014950,0,2,1.644390,-4.712863,-3.129030
1.000000,1,3,2.823722,-5.604711,-2.148649
1.000000,0,3,3.110592,-5.708470,-3.544446
1.014950,0,3,7.388804,-6.069630,-4.245465
1.000000,1,4,22.442579,-6.169598,-2.153972
1.000000,0,4,22.513908,-6.824961,-4.889875
1.014950,0,4,52.603716,-6.726510,-4.646468
1.000000,1,5,389.029393,-6.203639,-2.154054
1.000000,0,5,389.469220,-7.006197,-5.120381
1.014950,0,5,877.399291,-6.997835,-5.470588
